                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57645,                0.36792,                0.89043,                0.95774,                      1,                0.99247,                0.71876,                 1.1466,                0.53167,                 1.1165,               0.001307,               0.001307,               0.001307
                     37,                0.56654,                0.35286,                0.87032,                0.95579,                0.98571,                0.99167,                0.71127,                 1.1547,                0.60704,                 1.1426,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.5772,                 0.3609,                0.88448,                0.97917,                0.98571,                0.99343,                0.70218,                 1.0811,                0.60732,                 1.0579,              0.0012674,              0.0012674,              0.0012674
                     39,                0.60533,                 0.3665,                0.89824,                0.97213,                0.99661,                0.98972,                0.71931,                 1.1144,                0.60537,                 1.1068,              0.0012476,              0.0012476,              0.0012476
                     40,                0.58127,                 0.3569,                0.88923,                0.96962,                      1,                0.98542,                0.73378,                  1.092,                0.62639,                 1.1007,              0.0012278,              0.0012278,              0.0012278
                     41,                0.54925,                0.32658,                0.86645,                0.95743,                      1,                0.97893,                0.72745,                 1.1011,                0.60618,                 1.1075,               0.001208,               0.001208,               0.001208
                     42,                0.57358,                0.34502,                0.87115,                0.97207,                 0.9945,                0.98792,                0.71001,                  1.095,                0.57119,                 1.1125,              0.0011882,              0.0011882,              0.0011882
                     43,                0.55149,                0.33751,                 0.8664,                0.95689,                      1,                0.98838,                0.72112,                  1.101,                 0.6149,                 1.1019,              0.0011684,              0.0011684,              0.0011684
                     44,                0.57797,                0.34312,                0.88228,                0.93032,                      1,                0.99338,                0.72795,                0.99813,                0.71418,                 1.1013,              0.0011486,              0.0011486,              0.0011486
                     45,                0.57296,                0.34152,                0.87386,                0.98584,                0.99493,                0.99486,                0.70636,                 1.0247,                0.52859,                 1.1249,              0.0011288,              0.0011288,              0.0011288
                     46,                0.56083,                0.34766,                0.88196,                 0.9721,                 0.9954,                0.99458,                0.71168,                 1.0037,                0.56524,                 1.0976,               0.001109,               0.001109,               0.001109
                     47,                0.52859,                0.32682,                 0.8597,                0.98361,                      1,                0.99444,                0.73388,                 1.0809,                0.58594,                  1.082,              0.0010892,              0.0010892,              0.0010892
                     48,                0.53386,                0.33052,                0.86132,                0.98018,                      1,                0.99303,                0.69576,                 1.2516,                0.66685,                 1.2167,              0.0010694,              0.0010694,              0.0010694
                     49,                0.53907,                0.32158,                0.85835,                0.97506,                0.98571,                0.99372,                0.72569,                 1.0852,                0.62532,                 1.0888,              0.0010496,              0.0010496,              0.0010496
                     50,                 0.4982,                0.30994,                0.85572,                0.97215,                0.99723,                0.99444,                0.72524,                 1.0257,                0.50521,                  1.051,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.5096,                0.30822,                0.85273,                0.97081,                      1,                0.99458,                0.74621,                 1.0675,                0.52961,                 1.1219,                0.00101,                0.00101,                0.00101
                     52,                0.51617,                0.31535,                0.86186,                0.95747,                      1,                0.99078,                 0.7438,                 1.1296,                0.52507,                 1.1486,              0.0009902,              0.0009902,              0.0009902
                     53,                0.51382,                0.30955,                0.87647,                0.97772,                      1,                0.99345,                 0.7628,                 1.0594,                  0.555,                 1.0907,              0.0009704,              0.0009704,              0.0009704
                     54,                0.53124,                0.31345,                0.86712,                0.98487,                      1,                0.99472,                0.74098,                 1.0713,                0.49625,                 1.0987,              0.0009506,              0.0009506,              0.0009506
                     55,                0.53108,                0.32189,                0.86837,                0.98588,                0.99753,                0.99401,                0.74534,                 1.0041,                0.45636,                 1.1164,              0.0009308,              0.0009308,              0.0009308
                     56,                0.49925,                 0.2963,                0.84437,                      1,                0.99793,                  0.995,                0.75277,                0.95081,                 0.4354,                 1.0496,               0.000911,               0.000911,               0.000911
                     57,                 0.4981,                0.30094,                0.85249,                      1,                0.99862,                  0.995,                0.76278,                 1.0074,                0.45653,                 1.0838,              0.0008912,              0.0008912,              0.0008912
                     58,                0.50003,                0.30016,                0.84714,                0.99215,                0.98571,                0.99397,                0.75591,                 1.0302,                 0.5282,                 1.0873,              0.0008714,              0.0008714,              0.0008714
                     59,                0.51305,                0.30418,                0.86371,                0.98436,                      1,                0.99486,                0.78235,                0.89391,                0.43517,                 1.0434,              0.0008516,              0.0008516,              0.0008516
                     60,                0.48291,                0.29141,                0.84729,                      1,                0.99794,                  0.995,                0.78658,                0.96401,                0.43871,                 1.0648,              0.0008318,              0.0008318,              0.0008318
                     61,                0.50757,                 0.2927,                0.84865,                0.98534,                      1,                0.99486,                 0.7578,                0.96467,                0.43979,                  1.052,               0.000812,               0.000812,               0.000812
                     62,                0.49719,                0.29771,                0.84298,                0.99761,                      1,                  0.995,                0.77225,                0.99563,                0.45517,                 1.0328,              0.0007922,              0.0007922,              0.0007922
                     63,                0.48079,                0.29081,                0.84127,                      1,                0.99862,                  0.995,                 0.7601,                0.97911,                0.41209,                 1.0711,              0.0007724,              0.0007724,              0.0007724
                     64,                0.45331,                0.27549,                0.84966,                0.98578,                      1,                 0.9943,                0.78769,                0.97305,                0.45165,                  1.056,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.4843,                0.28455,                0.84585,                0.97032,                      1,                0.99444,                0.75856,                0.96227,                0.49933,                 1.0581,              0.0007328,              0.0007328,              0.0007328
                     66,                0.48763,                0.28064,                0.85095,                0.95888,                0.99929,                0.99459,                0.75173,                 0.8727,                0.50647,                 1.0115,               0.000713,               0.000713,               0.000713
                     67,                0.49068,                0.28327,                0.85202,                0.95888,                0.99949,                0.99358,                0.77257,                0.93531,                0.54687,                 1.0395,              0.0006932,              0.0006932,              0.0006932
                     68,                0.49512,                0.28986,                0.84757,                0.98226,                      1,                0.99472,                 0.7796,                0.97433,                0.49253,                 1.0425,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.4646,                 0.2746,                0.84634,                 0.9853,                      1,                  0.995,                0.78869,                0.94971,                 0.4288,                 1.0291,              0.0006536,              0.0006536,              0.0006536
                     70,                0.45104,                0.26366,                0.83976,                0.98482,                      1,                0.99486,                0.77665,                 0.9748,                 0.3989,                 1.0308,              0.0006338,              0.0006338,              0.0006338
